id,personnel_id,record_date,duty_hours,deployment_days,leave_days,training_load
558,18,2026-08-28,6.0,24.0,5,7.0
559,19,2026-08-28,4.0,6.0,5,7.0
560,20,2026-08-28,6.0,12.0,3,5.0
561,1,2026-08-29,13.0,14.0,2,6.0
562,2,2026-08-29,6.0,21.0,2,3.0
563,3,2026-08-29,16.0,7.0,5,6.0
564,4,2026-08-29,4.0,16.0,5,-0.0
565,5,2026-08-29,13.0,18.0,6,10.0
566,6,2026-08-29,9.0,24.0,6,8.0
567,7,2026-08-29,12.0,18.0,0,6.0
568,8,2026-08-29,5.0,10.0,0,2.0
569,9,2026-08-29,11.0,22.0,5,9.0
570,10,2026-08-29,8.0,17.0,5,6.0
571,11,2026-08-29,6.0,4.0,0,6.0
572,12,2026-08-29,3.0,22.0,5,5.0
573,13,2026-08-29,10.0,12.0,2,10.0
574,14,2026-08-29,11.0,26.0,2,6.0
575,15,2026-08-29,10.0,5.0,5,1.0
576,16,2026-08-29,14.0,22.0,0,5.0
577,17,2026-08-29,7.0,7.0,3,4.0
578,18,2026-08-29,7.0,26.0,5,6.0
579,19,2026-08-29,2.0,5.0,5,10.0
580,20,2026-08-29,6.0,15.0,3,7.0
581,1,2026-08-30,12.0,14.0,2,6.0
582,2,2026-08-30,13.0,21.0,2,8.0
583,3,2026-08-30,15.0,5.0,5,7.0
584,4,2026-08-30,6.0,15.0,5,2.0
585,5,2026-08-30,14.0,15.0,6,10.0
586,6,2026-08-30,15.0,26.0,6,10.0
587,7,2026-08-30,13.0,20.0,0,4.0
588,8,2026-08-30,7.0,8.0,0,3.0
589,9,2026-08-30,15.0,16.0,5,7.0
590,10,2026-08-30,6.0,17.0,5,5.0
591,11,2026-08-30,8.0,8.0,0,11.0
592,12,2026-08-30,5.0,20.0,5,8.0
593,13,2026-08-30,12.0,15.0,2,10.0
594,14,2026-08-30,17.0,24.0,2,6.0
595,15,2026-08-30,12.0,10.0,5,-0.0
596,16,2026-08-30,13.0,19.0,0,7.0
597,17,2026-08-30,10.0,9.0,3,7.0
598,18,2026-08-30,9.0,25.0,5,6.0
599,19,2026-08-30,7.0,7.0,5,7.0
600,20,2026-08-30,9.0,9.0,3,7.0
